run_id,task_id,task_success,human_rescues,elapsed_seconds,tool_calls,blast_radius,verification_quality,failure_labels,failures,answer_json,transcript
event-independent-20260620151052,act.event_jsonapi,true,0,518.0,50,clean,mechanical-pass,,,runs/event-independent-20260620151052/answer.json,runs/event-independent-20260620151052/transcript.md
haven-event-v0-tooling-smoke,act.event_jsonapi,true,0,16.154,4,clean,mechanical-pass,,,runs/haven-event-v0-tooling-smoke/answer.json,runs/haven-event-v0-tooling-smoke/transcript.md
haven-inventory-v0-tooling-smoke,inventory.read_only,true,0,18.887,4,clean,mechanical-pass,,,runs/haven-inventory-v0-tooling-smoke/answer.json,runs/haven-inventory-v0-tooling-smoke/transcript.md
haven-recovery-v0-tooling-smoke,recover.event_jsonapi,true,0,12.426,3,clean,mechanical-pass,,,runs/haven-recovery-v0-tooling-smoke/answer.json,runs/haven-recovery-v0-tooling-smoke/transcript.md
inventory-deleaked-blind,inventory.read_only,false,0,196.0,32,clean,mechanical-fail,command_runner;path_ownership;pathauto,command_runner;paths./node.claimed;paths./node.owner_kind;pathauto.patterns;pathauto.patterns.unexpected,runs/inventory-deleaked-blind/answer.json,runs/inventory-deleaked-blind/transcript.md
inventory-deleaked-equipped,inventory.read_only,true,0,203.0,25,clean,mechanical-pass,,,runs/inventory-deleaked-equipped/answer.json,runs/inventory-deleaked-equipped/transcript.md
inventory-enhanced-independent-20260620145648,inventory.read_only,true,0,336.0,36,clean,mechanical-pass,,,runs/inventory-enhanced-independent-20260620145648/answer.json,runs/inventory-enhanced-independent-20260620145648/transcript.md
inventory-independent-20260620144627,inventory.read_only,true,0,536.0,48,clean,mechanical-pass,,,runs/inventory-independent-20260620144627/answer.json,runs/inventory-independent-20260620144627/transcript.md
inventory-independent-pass3-20260620150332,inventory.read_only,true,0,372.0,33,clean,mechanical-pass,,,runs/inventory-independent-pass3-20260620150332/answer.json,runs/inventory-independent-pass3-20260620150332/transcript.md
recovery-independent-20260620151052,recover.event_jsonapi,true,0,506.0,48,clean,mechanical-pass,,,runs/recovery-independent-20260620151052/answer.json,runs/recovery-independent-20260620151052/transcript.md
